"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"PROD_ID1";"REV";"VALUE";
"C1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C2";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"";"CAP-08390";"";"";"0.1uF";
"C3";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C5";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"";"CAP-08390";"";"";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"Owen Lyke";"";"";"v10";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"J1";"MICRO-SD_CARD_SOCKETTINY";"MICRO-SD_CARD_SOCKETTINY";"MICROSD_TINY";"microSD Socket for Transflash";"";"CONN-13500";"";"";"";
"J2";"";"CONN_10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-11563";"";"";"";
"JP1";"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME_.3";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"SPECIAL_INSTRUCTIONS-PRODUCTION";"SPECIAL_INSTRUCTIONS-PRODUCTION";"PRODUCTION_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"Q1";"220mA/50V/3.5Ω";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"TRANS-00830";"";"";"220mA/50V/3.5Ω";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R3";"1";"1OHM-0603-1/10W-1%";"0603";"1Ω resistor";"";"RES-08269";"";"";"1";
"R4";"1";"1OHM-0603-1/10W-1%";"0603";"1Ω resistor";"";"RES-08269";"";"";"1";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"U$33";"EXTERNAL_DISP-KWH018ST14-F01";"EXTERNAL_DISP-KWH018ST14-F01";"KWH018ST14-F01_HOLES";"External Display Device";"";"LCD-14196";"";"";"";
"U1";"";"KWH018ST14-F01_4WSPI-BOTTOM";"FPC05040-17204";"Fomike KWH018ST14-F01 TFT LCD Module Using 4WSPI Interface";"";"CONN-14082";"LCD-14196";"";"";
"U2";"TXB0108DQSR";"TXB0108";"UFDFN-20";"8-Bit Bi-Directional Level Shifter";"";"IC-12292";"";"";"TXB0108DQSR";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";
