"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C9";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"D1";"MBR120";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";
"D2";"MBR120";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";
"IC1";"74HCT1G125DBV";"74AHC1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";
"IC2";"ATSAMD51G_TQFN48";"ATSAMD51G_TQFN48";"TQFN48_7MM";"";"";
"JP1";"";"HEADER-1X570MIL";"1X05_ROUND_70";"PIN HEADER";"";
"JP2";"";"HEADER-1X14";"1X14_ROUND70";"";"";
"JP4";"";"HEADER-1X14";"1X14_ROUND70";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";
"L2";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"R1";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R2";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"2.2K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";
"R4";"10K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"U1";"GD25x16";"SPIFLASH_8PINUX";"USON8";"SOIC8 SPI Flash";"";
"U2";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
"X3";"microUSB";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";
