"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";"VERSION";"VOLTAGE";
"!RESET";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"3V3EN";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"3V3SW";"";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"5V3";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"B1";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"BATT-14267";"";"";"";"";"";
"C1";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"10nF";"";"";
"C2";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"CAP-07888";"";"";"2.2uF";"";"";
"C3";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"";"";
"C4";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";"";"";
"C5";"1F 2.7V";"1F-2.7V(PTH)CPOL-RADIAL-1H-2.7V";"CPOL-RADIAL-1F-2.7V";"1F 2.7V SuperCapacitor CAP-14696";"";"CAP-14696";"";"";"";"";"";
"C6";"1F 2.7V";"1F-2.7V(PTH)CPOL-RADIAL-1H-2.7V";"CPOL-RADIAL-1F-2.7V";"1F 2.7V SuperCapacitor CAP-14696";"";"CAP-14696";"";"";"";"";"";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
"C8";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";"";
"C9";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"10nF";"";"";
"C10";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"";"";
"C11";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";"";
"C12";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";"";"";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
