"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";
"C2";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C3";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"CN1";"MINIB";"USBMINIB";"USB-MINIB";"USB Connectors";"";
"FTDI";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"IC1";"FT232RL";"FT232RL";"SSOP28";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
"R1";"10";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"RX";"Green";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ5";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ6";"";"SJ";"SJ";"SMD solder JUMPER";"";
"TX";"Red";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
