"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C10";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C13";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C19";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"JP1";"FTDI_BASIC";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic: 3.3V and 5V";"";
"JP2";"Connections";"M10"";"1X10";"Header 10";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"JP7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP8";"RESET";"M01PTH";"1X01";"Header 1";"";
"JP9";"";"M02PTH";"1X02";"Header 2";"";
"JP10";"";"M02PTH";"1X02";"Header 2";"";
"JP11";"Serial";"M03JST-PTH";"JST-3-PTH";"Header 3";"";
"JP12";"";"M02PTH";"1X02";"Header 2";"";
"JP13";"";"M02PTH";"1X02";"Header 2";"";
"JP14";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"LED1";"Red";"LED0603";"LED-0603";"LEDs";"";
"Q1";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q2";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q3";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q4";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q5";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q6";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q7";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q8";"PNP";"TRANSISTOR_PNPSMD";"SOT23-3";"Generic PNP BJT. Double check pinouts against datasheets- not all devices are the same!";"";
"Q9";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Generic NPN BJT. MMBT2222 is the common NPN we use. Double check against datasheet- not all devices are the same!";"";
"Q10";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Generic NPN BJT. MMBT2222 is the common NPN we use. Double check against datasheet- not all devices are the same!";"";
"Q11";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Generic NPN BJT. MMBT2222 is the common NPN we use. Double check against datasheet- not all devices are the same!";"";
"Q12";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Generic NPN BJT. MMBT2222 is the common NPN we use. Double check against datasheet- not all devices are the same!";"";
"R1";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R8";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R9";"33/68";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R11";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"SJ1";"Counter Ctl";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ2";"Counter Ctl";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"U$2";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"U$3";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
"U$4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$7";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";
"U1";"MIC5219";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"U2";"ATMEGA328";"ATMEGA168";"TQFP32-08";"Atmel 32-pin 8-bit micro, 16k flash.";"";
"U3";"7-SEGMENT-4DIGIT-COUNTERPTH";"7-SEGMENT-4DIGIT-COUNTERPTH";"7-SEGMENT-4DIGIT-COUNTER";"";"";
