"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C5";"100uF";"100UF-POLAR-25V-20%(ELEC)";"PANASONIC_D";"100µF polarized capacitors";"CAP-12547";"";"100uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C17";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"10nF";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"GREEN";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"F2";"16V/2.5A(5A TRIP)";"PPTC_16V_2.5A";"1812";"Resettable Fuse PPTC";"RES-14390";"";"16V/2.5A(5A TRIP)";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"J1";"RASPBERRYPI-40-PIN-GPIO";"RASPBERRYPI-40-PIN-GPIO_PTH_NO_SHROUD";"2X20";"Raspberry Pi GPIO Header";"";"";"";
"J3";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
