"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"D1";"WS2812B";"WS2812B";"WS2812B";"WS2812B - Intelligent control LED integrated light source";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"JP2";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"JP3";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"JP4";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"JP5";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"JP6";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"U$1";"LOGO-LPLP";"LOGO-LPLP";"LOGO-LILYPAD";"";"";"";
"U$8";"LOGO-LPL";"LOGO-LPL";"LOGO-L";"";"";"";
