"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C2";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"2.2uF";
"C3";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"INP";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"JP1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";
"JP2";"M09";"M09";"1X09";"Header 9";"";"";
"JP3";"M09";"M09";"1X09";"Header 9";"";"";
"JP4";"";"M06SIP";"1X06";"Header 6";"";"";
"LED0";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"LED1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LEDS";"JUMPER-PAD-3-NC_BY_PASTE";"JUMPER-PAD-3-NC_BY_PASTE";"PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"TRANS-00830";"";
"R1";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R2";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R3";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R4";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R5";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R6";"16.2k";"16.2KOHM1/10W1%(0603)";"0603-RES";"";"RES-12187";"16.2k";
"R7";"26.7k";"16.2KOHM1/10W1%(0603)";"0603-RES";"";"RES-12187";"16.2k";
"R8";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"REG";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";
"U1";"";"BC118";"BC118";"";"WRL-12203";"BC118";
"U2";"AP2202-ADJ";"AP2202-ADJ";"SOT23-5";"AP2202 Adjustable LDO";"VREG-12189";"AP2202-ADJ";
