"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"TP_SIGNAL_NAME";
"C1";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C3";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C6";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C13";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"D+";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"3";"";
"D-";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"3";"";
"D1";"MBR054";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";
"D2";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";
"D3";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";
"D4";"BLUE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"IC1";"LSM6DS33";"LSM6DS33";"LGA16_3X3MM";"";"";"";"";
"IC2";"GD25Q16";"SPIFLASH_8PINUX";"USON8";"SOIC8 SPI Flash";"";"";"";
"IC3";"LIS3MDL";"LIS3MDL";"LGA12_2X2MM";"Digital output magnetic sensor. ultra-low-power, high-performance 3-axis magnetometer";"";"";"";
"IC4";"MIC_PDM";"MIC_PDM_SPK0415";"SPK0415HM4H";"";"";"";"";
"L1";"DNP";"INDUCTOR_0805MP";"_0805MP";"Inductors";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";
"MDBT1";"MDBT50";"MDBT50";"MDBT50";"Raytac Corporation";"";"";"";
"MS1";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"";"";"";"";
"Q3";"DMG2305";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";
"R1";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R3";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R4";"4.7K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R7";"4.7K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";
"R10";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R11";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R12";"100K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";
"SWC";"TPTP12R";"TPTP12R";"TP12R";"Test pad";"";"1";"";
"SWD";"TPTP12R";"TPTP12R";"TP12R";"Test pad";"";"1";"";
"TP1";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"3";"";
"U1";"APDS-9960";"APDS-9960";"APDS-9960";"APDS-9960 - Digital Proximity Sensor with Ambient Light/RGB/Gesture Detection";"";"";"";
"U2";"AP2112(3.3V)";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";
"U4";"SHT30";"SHT3X";"SHT3X";"SHT3x - Digital Temperature and Humidity Sensor";"";"";"";
"U5";"BMP280";"BMP280";"BMP280";"BMP280 - Digital Pressure Sensor";"";"";"";
"X1";"4u20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";
"X2";"CON_JST_PH_2PIN_MTPH2";"CON_JST_PH_2PIN_MTPH2";"JSTPH2";"";"";"";"";
