"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";
"C2";"33pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C4";"100uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";
"C5";"10pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C9";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";
"CHG";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"D1";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";
"D2";"SMF05C";"TVSARRAY_5LANE";"SOT363";"Voltage Transient Suppressor Array";"";"";"";"";"";
"D3";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";
"D4";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";
"D5";"MMSZ5231BT1G";"DIODE-ZENERSOD123";"SOD-123";"Zener Diode";"";"";"";"";"";
"D7";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";
"D9";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";
"IC1";"ATMEGA32U4-MU";"ATMEGA32U4-MU";"TQFN44_7MM";"http://www.ladyada.net/library/eagle";"";"";"";"";"";
"JP1";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";"";
"JP3";"";"HEADER-1X12";"1X12_ROUND";"";"";"";"";"";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"NETSTAT";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"PWRSTAT";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
