"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"22nF";"22NF/22,000PF-50V-10%(0603)";"0603-CAP";"CAP-07885";"CAP-07885";"22nF";
"C3";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C4";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C5";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"CAP-07886";"1nF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C7";"47uF";"47UF-TANT";"EIA3528";"47uF Tantalum SMT";"CAP-08310";"47uF";
"C8";"47uF";"47UF-TANT";"EIA3528";"47uF Tantalum SMT";"CAP-08310";"47uF";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C10";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C11";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M08";"1X08";"Header 8";"";"";
"JP3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"JP4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"L1";"270nH";"INDUCTOR0603";"0603";"Inductors";"";"";
"L2";"Ferrite 2.5k";"INDUCTOR0603";"0603";"Inductors";"";"";
"L3";"Ferrite 2.5k";"INDUCTOR0603";"0603";"Inductors";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"R1";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"4.7k";"4.7KOHM1/10W1%(0603)";"0603";"RES-07857";"RES-07857";"";
"R4";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"RES-09383";"20k";
"R5";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"RES-09383";"20k";
"R6";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"RES-09383";"20k";
"R7";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"RES-09383";"20k";
"R8";"4.7k";"4.7KOHM1/10W1%(0603)";"0603";"RES-07857";"RES-07857";"";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R10";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R11";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R12";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"U$1";"REVISION";"REVISION";"REVISION";"";"";"";
"U1";"SI4703";"SI470X";"SI470X";"FM receiver IC. Tested with Si4703. You really only need SEN, RST, SCLK, and SDIO to get a full FM radio working. Antenna comes from headphone jack. See BOB-10344.";"";"";
"U3";"TPA6111";"TPA6111SMD-T";"SO08-TIGHT";"";"IC-10149";"";
"U4";"";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"";"";
"Y1";"32.768kHz";"CRYSTAL32-SMD";"CRYSTAL-32KHZ-SMD";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"XTAL-07894";"";
