"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"Ceramic";"CAP-00810";"0.1uF";
"C8";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C9";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"D1";"";"B340A";"SMA-DIODE";"Schottky Diode";"DIO-09886";"";
"D2";"";"B340A";"SMA-DIODE";"Schottky Diode";"DIO-09886";"";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D4";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D6";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"1x3 RA Female .1"";"M03SMD_RA_FEMALE";"1X03_SMD_RA_FEMALE";"Header 3";"CONN-10926";"1x3 RA Female .1"";
"JP2";"1x3 RA Female .1"";"M03SMD_RA_FEMALE";"1X03_SMD_RA_FEMALE";"Header 3";"CONN-10926";"1x3 RA Female .1"";
"JP3";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"Power Jack";"CONN-08106";"5.5x2.1mm Barrel";
"JP4";"USB-B";"USB-MINIB-5PIN";"USB-MINIB";"Mini-USB "B" connector with 5th pin broken out.";"";"";
"JP5";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP6";"M05X2NO_SILK";"M05X2NO_SILK";"2X5_NOSILK";"Header 5x2";"";"";
"JP7";"M05X2NO_SILK";"M05X2NO_SILK";"2X5_NOSILK";"Header 5x2";"";"";
"JP8";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP9";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP10";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP11";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP12";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP13";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"CONN-11415";"";
"JP14";"";"M02PTH";"1X02";"Header 2";"";"";
"JP15";"";"M02PTH";"1X02";"Header 2";"";"";
"JP16";"";"M02PTH";"1X02";"Header 2";"";"";
"MOD1";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"Xbee module footprints";"CONN-09042";"";
"Q1";"";"IRF7509";"MSOP8";"30V Dual PMOS/NMOS MSOP-8";"TRANS-07913";"";
"R1";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R3";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R4";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R5";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R6";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R7";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R8";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R9";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R10";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R11";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
