"Part";"Value";"Device";"Package";"Description";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";
"JP2";"";"M081X08";"1X08";"Header 8";"";
"JP3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"JP4";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"JP5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"LED1";"Red";"LED0603";"LED-0603";"LEDs";"";
"LED2";"Yellow";"LED0603";"LED-0603";"LEDs";"";
"LED3";"Green";"LED0603";"LED-0603";"LEDs";"";
"LED4";"Blue";"LED0603";"LED-0603";"LEDs";"";
"R1";"220";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"220";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"220";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"220";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R8";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"S1";"Button 1";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";
"S2";"Button 2";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";
"S3";"Button 3";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";
"S4";"Button 4";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
