"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"BT1";"1.2V";"BATTERY-AAA_KIT";"BATTERY-AAA-KIT";"Battery - Single Cell";"BATT-08571";"PRT-12718";"";
"BT2";"1.2V";"BATTERY-AAA_KIT";"BATTERY-AAA-KIT";"Battery - Single Cell";"BATT-08571";"PRT-12718";"";
"BT3";"1.2V";"BATTERY-AAA_KIT";"BATTERY-AAA-KIT";"Battery - Single Cell";"BATT-08571";"PRT-12718";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C5";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"CAP-11625";"";"1.0uF";
"C6";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"";"2.2uF";
"D3";"RG LED";"LED-RGLTST-C195KGJRKT";"LTST-C195KGJRKT";"LiteOn Technology Corporation LTST-C195KGJRKT - LED GREEN/RED CLEAR 0606 SMD";"DIO-12140";"";"";
"D4";"800mA/220mV";"CUS08F30SOD-323";"SOD-323";"";"DIO-13570";"";"800mA/220mV";
"D5";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"RED";
"D6";"LED-IR";"LED-IR-SMDSFH4045N";"SFH4045N";"IR LED - Surface mount";"DIO-13574";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"IC1";"ATTINY84A";"ATTINY84ATTINY84-20MU";"QFN20";"Atmel 14-pin 2/4/8kB flash uC";"IC-13571";"";"";
"J1";"R_Ext";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J2";"USBPCB";"USBPCB_NOPASTE";"USB-A-PCB-NOPASTE";"USB Connectors";"";"";"";
"J3";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";"";
"J5";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP1";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"JP2";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"JP3";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"JP4";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"JP5";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"600mA/40V";
"R1";"68";"68OHM-0603-1/10W-1%";"0603";"68Ω resistor";"RES-07860";"";"68";
"R2";"68";"68OHM-0603-1/10W-1%";"0603";"68Ω resistor";"RES-07860";"";"68";
"R3";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"RES-08306";"";"1.5k";
"R4";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"100";
"R5";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"100";
"R6";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"RES-08306";"";"1.5k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R9";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"S1";"";"JOYSTICK_MINI";"JOYSTICK_MINI";"Small Tactile Joystick w/ Select Switch";"SWCH-09905";"COM-10063";"";
"S2";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"COM-10860";"";
"S3";"";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-13065";"";"";
"U$5";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";
"U1";"IR-Receiver";"TSOP75XXXWSIDE_VIEW";"TSOP75XXXWTR";"Vishay TSOP75xxxW - IR receiver";"SEN-13572";"";"";
"U3";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"VREG-12457";"";"";
