"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";"VERSION";
"BLUETOOTH_BROADCAST";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"";"";"SWCH-08179";"";"";"COM-00597";"";"";
"BT1";"LIPO-OUTLINE1000";"LIPO-OUTLINE1000";"LIPO-1000";"LiPo Battery Outlines";"";"";"";"BATT-13243";"";"";"PRT-13813";"";"";
"C1";"47pF";"47PF-0402-25V-5%-X7R";"0402";"47pF ceramic capacitors";"";"";"";"CAP-15063";"";"";"";"47pF";"";
"C2";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"";"";"1.0uF";"";
"C4";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"";"";"1.0uF";"";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C6";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"";"";"1.0uF";"";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C8";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"";"";"CAP-14106";"";"";"";"4.7uF";"";
"C9";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"";"";"CAP-14106";"";"";"";"4.7uF";"";
"C10";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"CAP-11015";"";"";"";"10uF";"";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
