"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C6";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C9";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"CAP-08402";"";"";"22uF";
"C10";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"CAP-11330";"";"";"10uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C12";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"";"";"10uF";
"C13";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"CAP-11330";"";"";"10uF";
"C14";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"C15";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"CAP-08402";"";"";"22uF";
"C16";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"CAP-08402";"";"";"22uF";
"D1";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"";"WS2812B";
"D2";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"";"WS2812B";
"D3";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"";"WS2812B";
"D4";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"";"WS2812B";
"D5";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"";"WS2812B";
"D6";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"DIO-14072";"";"";"3A/10V/280mV";
"D7";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"D8";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D9";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"D10";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D11";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"D12";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D13";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D14";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"DIO-14072";"";"";"3A/10V/280mV";
"D15";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D16";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"DIO-14072";"";"";"3A/10V/280mV";
"D17";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"D18";"120mA/40V/370mV";"DIODE-SCHOTTKY-RB751S40";"SOD-523";"Schottky diode";"DIO-11018";"";"";"120mA/40V/370mV";
"D19";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"DIO-08199";"";"";"3.6V";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"J1";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J2";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J3";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J4";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J6";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J7";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J8";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J9";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J10";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J11";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J12";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J13";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J14";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J15";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J16";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J17";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J18";"GATOR";"GATOR";"GATOR";"";"";"";"";"";
"J19";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack Connector";"CONN-08197";"PRT-00119";"";"";
"L1";"1.5uH";"INDUCTOR-XFL40201.5UH";"XFL4020";"";"INDUC-13855";"";"";"1.5uH";
"LOGO1";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME_.3";"SparkFun Font Logo w/ Flame";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO3";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";"";
"LS1";"BUZZER-SMD";"BUZZER-SMD";"BUZZER-CCV";"Buzzer";"COMP-08568";"";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"";"600mA/40V";
"R1";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"";"";"100k";
"R2";"10.2K";"10.2KOHM";"0603";"https://www.digikey.com/product-detail/en/yageo/RC0603FR-0710K2L/311-10.2KHRTR-ND/726883";"RES-13856";"";"";"10.2K";
"R3";"523k";"523KOHMOHMS-0603-1/10W-1%";"0603";"";"RES-13864";"";"";"523k";
"R4";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"";"";"100k";
"R5";"390";"390OHM-0603-1/10W-1%";"0603";"390Ω resistor";"RES-07864";"";"";"390";
