"Part";"Value";"Device";"Package";"Description";"PART_#";"PROD_ID";"VALUE";
"C1";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"CAP-07883";"100pF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"0.1uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"0.1uF";
"C5";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"CAP-07886";"1nF";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";
"J1";"";"CONN_01SMTSO-256-ET-0.165DIA";"SMTSO-256-ET-0.165DIA";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"HW-08694";"";
"J2";"";"CONN_01SMTSO-256-ET-0.165DIA";"SMTSO-256-ET-0.165DIA";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"HW-08694";"";
"J3";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP1";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";
"JP3";"";"M03PTH";"1X03";"Header 3";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";
"R1";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"22k";
"R2";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"1k";
"R5";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"4.7k";
"U1";"ACS723";"ACS723";"SO08";"";"ACS723ACS723LLCTR-05AB-T2";"IC-13872";"";
"U2";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"";"IC-08251";"OPA344";
"VR1";"10k";"TRIMPOT-SMD-3MM-OPEN-1/10W-25%";"TRIMPOT-SMD-TC33X";"Trimming Potentiometer (Trimpot)";"";"RES-12428, RES-08048";"10k";
"VR2";"10k";"TRIMPOT-SMD-3MM-OPEN-1/10W-25%";"TRIMPOT-SMD-TC33X";"Trimming Potentiometer (Trimpot)";"";"RES-12428, RES-08048";"10k";
