"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"BT2";"";"BATTERY-20MM_PTH_KIT";"BATTCOM_20MM_PTH_KIT";"Battery - Single Cell";"9031";"";"";
"D1";"";"LED-5MM-KIT-NO-SILK";"LED_5MM-KIT-NO-SILK";"LED (Generic)";"9903";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO4";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SparkFun Font Logo";"";"";"";
"R1";"10";"RESISTORAXIAL-0.3-KIT";"AXIAL-0.3-KIT";"Generic Resistor Package";"8371";"";" ";
"S2";"";"SWITCH-SPDT-PTH-11.6X4.0MM-KIT";"SWITCH_SPDT_PTH_11.6X4.0MM_KIT";"Single Pole, Double Throw (SPDT) Switch";"SWCH-08261";"COM-00102";"";
