"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"10uF";"";
"C2";"1.0uF";"1.0UF-25V-+80/-20(0805)";"0805";"CAP-11625";"";"CAP-11625";"1.0uF";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C4";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"";"CAP-11812";"10pF";"";
"C5";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"";"CAP-11812";"10pF";"";
"C6";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"";"CAP-07888";"2.2uF";"";
"C7";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";"";
"C8";"5.6pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-12456";"";"";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";"";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"DIO-08575";"BLUE";"";
"D3";"BAS16";"DIODEBAS16";"SOD-323";"Diode";"";"DIO-09646";"250mA/100V";"";
"E1";"ANTENNATRACE";"ANTENNATRACE";"TRACE_ANTENNA_2.4GHZ_25.7MM";"Chip antenna";"";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Jim Lindblom";"";"";"v01";
"JP1";"";"M11PTH";"1X11";"Header 11";"";"";"";"";
