"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"5V";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"5V_RAIL";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"BB1";"BREADBOARDMINI";"BREADBOARDMINI";"BREADBOARD-MINI";"SparkFun Breadboard Mini";"COMP-12034";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"GND";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"GND_RAIL_1";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"GND_RAIL_2";"";"CONN_031X03_NO_SILK";"1X03_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"ICSP";"ICSP";"AVR_SPI_PROG_3X2PTH";"2X3";"AVR ISP 6 Pin";"";"";"";
"JP1";"";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-11563";"";"";
"JP2";"BlueSMiRF";"CONN_06SILK_FEMALE_PTH";"1X06";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";"";
"JP7";"";"CONN_06SILK_FEMALE_PTH";"1X06";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";"";
"JP8";"ARDUINO_R3_SHIELDR3_PROTO_SHIELD";"ARDUINO_R3_SHIELDR3_PROTO_SHIELD";"UNO_R3_PROTO_SHIELD";"Shield form compatible with the Arduino Uno R3.";"";"";"";
"JP10";"";"CONN_06SILK_FEMALE_PTH";"1X06";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";"";
"JP11";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08438";"";"";
"JP12";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08438";"";"";
"JP13";"D_RAIL1";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP14";"D_RAIL1";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP15";"D_RAIL1";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP16";"D_RAIL2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP17";"D_RAIL2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP18";"D_RAIL2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP19";"D_RAIL3";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP20";"D_RAIL3";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP21";"D_RAIL3";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP22";"D_RAIL4";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP23";"D_RAIL4";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP24";"D_RAIL4";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP25";"D_RAIL5";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP26";"D_RAIL5";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP27";"D_RAIL5";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
