"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C2";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-14259";"";"10uF";
"C3";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-14259";"";"10uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C5";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-14259";"";"10uF";
"C6";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"CAP-14260";"";"22uF";
"C7";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"CAP-14260";"";"22uF";
"C8";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"CAP-14260";"";"22uF";
"C9";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-14259";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"J1";"";"CONN_023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-08399";"";"";
"J3";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J4";"";"CONN_023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-08399";"";"";
"JP1";"";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";
"L1";"1.5uH";"INDUCTOR-XFL40201.5UH";"XFL4020";"";"";"INDUC-13855";"";"1.5uH";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO3";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R2";"68.1k";"68.1KOHM-0603-1/10W-1%";"0603";"68.1kΩ resistor";"";"RES-09380";"";"68.1k";
"R3";"213k";"213KOHM-0603-1/10W-0.1%";"0603";"";"";"RES-14261";"";"213k";
"R4";"365k";"365KOHM-0603-1/10W-1%";"0603";"";"";"RES-14262";"";"365k";
"R5";"CUSTOM";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";" ";"";" ";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"S1";"";"SWITCH-SP3T-SMD";"SWITCH_SP3T_SMD";"Single-Pole, Triple-Throw (SP3T) Switch";"";"SWCH-10805";"";"";
"U1";"TPS63070";"TPS63070";"VQFN-15-HR(3X2.5)";"";"";"IC-14258";"";"TPS63070";
