"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"CAP1210";"1210";"Capacitor";"";"";
"C2";"22uF";"CAP0805";"0805";"Capacitor";"CAP-08402";"";
"C3";"100pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"CAP-07883";"";
"C4";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C5";"100pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"CAP-07883";"";
"C6";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C7";"100pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"CAP-07883";"";
"C8";"DNP";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-08053";"MBRA140";
"D2";"LED-RGLTST-C195KGJRKT";"LED-RGLTST-C195KGJRKT";"LTST-C195KGJRKT";"";"DIO-12140";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"M15";"M15";"1X15";"Header 15";"";"";
"JP2";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";
"JP3";"M02-JST-2MM-SMT";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"CONN-08352";"";
"JP4";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";
"JP5";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"L1";"2.2uH";"INDUCTORVLF4012A";"VLF4012A";"Inductors";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"Q1";"DMG2307L";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"2.5A/30V";
"Q2";"PT17-21C-L41-TR8";"PHOTOTRANSISTORPT17-21C-L41-TR8";"PT17-21C-L41-TR8";"";"TRANS-12141";"";
"R1";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"33k";"33KOHM1/10W1%(0603)";"0603-RES";"RES-08416";"RES-08416";"";
"R5";"33k";"33KOHM1/10W1%(0603)";"0603-RES";"RES-08416";"RES-08416";"";
"R6";"62k";"RESISTOR0603";"0603-RES";"Resistor";"RES-09993";"";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"SJ1";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";
"SJ2";"JUMPER-PAD-3-NOFULL_BOX_SILK";"JUMPER-PAD-3-NOFULL_BOX_SILK";"PAD-JUMPER-3-NO_YES_SILK_FULL_BOX";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"U$9";"SFE_LOGO_NAME_WEB";"SFE_LOGO_NAME_WEB";"SFE-NEW-WEBLOGO";"SparkFun.com board silk.";"";"";
"U1";"imp002";"ELECTRIC_IMP_IMP002";"ELECTRIC_IMP_IMP002";"";"IC-12130";"imp002";
"U2";"TPS62172";"TPS62172";"WSON-8-PAD";"Texas Instruments TPS62172";"IC-11307";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"CONN-08193";"";
