"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"C in";"DUAL_FOOTPRINT_CAP";"DUAL-CAP";"Dual-footprint capacitor.";"";"";"";
"C2";"C out";"DUAL_FOOTPRINT_CAP";"DUAL-CAP";"Dual-footprint capacitor.";"";"";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"";"RED";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP2";"INPUT JACK";"AUDIO-JACK4-.25-HORIZ-TRS";"AUDIO-JACK-.25-INCH-HORIZ-PTH";"1/4" TRS jack, horizontal";"CONN-12339";"COM-11144";"";
"JP3";"9VBattery";"M02PTH3";"1X02_LONGPADS";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP4";"POWER_JACK_TIP_NEGATIVE";"POWER_JACK_TIP_NEGATIVE";"POWER-BARRELJACK-PTH-LOCK-FIXED";"";"CONN-08197";"";"";
"JP5";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP6";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP7";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP8";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP9";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP10";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP11";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP12";"1x9";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";"";
"JP14";"PTH-LED";"M02PTH3";"1X02_LONGPADS";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP15";"1x2";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP16";"1x2";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP17";"OUTPUT JACK";"AUDIO-JACK4-.25-HORIZ-TRS";"AUDIO-JACK-.25-INCH-HORIZ-PTH";"1/4" TRS jack, horizontal";"CONN-12339";"COM-11144";"";
