"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C11";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"1uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C18";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C21";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C24";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C25";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C26";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C28";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C29";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C30";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C31";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C32";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C33";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C34";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C35";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C36";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C37";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C38";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C39";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C40";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C41";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C42";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C43";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C44";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C45";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C46";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C47";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C48";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C49";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C50";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C51";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C52";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C53";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C54";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"CONN1";"CON-USB-F-MICRO-B-2";"CON-USB-F-MICRO-B-2";"CON_USB_MICRO-B-2-SD-47589-001";"Micro USB based on molex SD-47589-001";"";
"IC1";"IC_MEM_23LC1024";"IC_MEM_23LC1024";"SOIC-8";"1Mbit SPI SRAM with Serial dual interface and Serial quad interface";"";
"IC2";"IC_MEM_23LC1024";"IC_MEM_23LC1024";"SOIC-8";"1Mbit SPI SRAM with Serial dual interface and Serial quad interface";"";
"IC3";"IC_74AC573";"IC_74AC573-TSSOP-20";"TSSOP-20";"8 Transparent Latch with 3-state output";"";
"IC4";"74LVC1G07DBV";"74LVC1G07DBV";"SOT23-5";"Single Buffer/Driver With Open-Drain Output";"";
"IC5";"74LVC1G07DBV";"74LVC1G07DBV";"SOT23-5";"Single Buffer/Driver With Open-Drain Output";"";
"IC6";"74LVC1G07DBV";"74LVC1G07DBV";"SOT23-5";"Single Buffer/Driver With Open-Drain Output";"";
"IC7";"74LVC1G07DBV";"74LVC1G07DBV";"SOT23-5";"Single Buffer/Driver With Open-Drain Output";"";
"IC8";"IC_BUFF_SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV";"DBV-R-PDSO-G6";"";"";
"IC9";"IC_BUFF_SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV";"DBV-R-PDSO-G6";"";"";
"IC10";"IC_BUFF_SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV";"DBV-R-PDSO-G6";"";"";
"IC11";"IC_BUFF_SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV";"DBV-R-PDSO-G6";"";"";
"IC12";"74LVC1G07DBV";"74LVC1G07DBV";"SOT23-5";"Single Buffer/Driver With Open-Drain Output";"";
"IC13";"IC_BUFF_SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV";"DBV-R-PDSO-G6";"";"";
"IC14";"IC_BL1551";"IC_BL1551";"SC-70-6";"BL1551";"";
"IC15";"IC_BL1551";"IC_BL1551";"SC-70-6";"BL1551";"";
"IC16";"74HCT4066PW";"4066TS";"40XX_TSSOP14";"Quad bilateral ANALOG SWITCH";"";
"J1";"CON_HEADER_2X02-PTH";"CON_HEADER_2X02-PTH";"M2X2";"";"";
"J2";"CON_HEADER_1X04";"CON_HEADER_1X04";"M1X4";"";"";
"J3";"CON_HEADER_1X03-PTH";"CON_HEADER_1X03-PTH";"M1X3";"";"";
"J4";"CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED";"CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED";"M1X10_MALE_RIGHT_ANGLES_PTH_SHROUDED";"";"";
"L1";"1.5A ferrite bead";"WE-KIL_0805";"WE-KI_0805_B";"SMD Wire Wound Ceramic Inductor WE-KIL";"";
"LED1";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED2";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED3";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED4";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED5";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED6";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED7";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED8";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LOGO1";"LOGO_CC-0";"LOGO_CC-0";"LOGO_CC-0";"";"";
"PCB1";"PCB_DP_RECTANGLE-50X100";"PCB_DP_RECTANGLE-50X100";"DP10050_V1";"Dangerous Prototypes Standard Rectangular PCB sizes";"";
"R1";"1.5K";"RESISTOR-0603";"R603";"";"";
"R2";"22R";"RESISTOR-0603";"R603";"";"";
"R3";"22R";"RESISTOR-0603";"R603";"";"";
"R4";"10K";"RESISTOR-0603";"R603";"";"";
"R5";"10K";"RESISTOR-0603";"R603";"";"";
"R6";"10K";"RESISTOR-0603";"R603";"";"";
"R7";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"1K1";"RESISTOR-0603";"R603";"";"";
"R14";"1K1";"RESISTOR-0603";"R603";"";"";
"R15";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R16";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R17";"1K1";"RESISTOR-0603";"R603";"";"";
"R18";"1K1";"RESISTOR-0603";"R603";"";"";
"R19";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R20";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R21";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R22";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R23";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R24";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R25";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R26";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R27";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R28";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R29";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R30";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R31";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R32";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R33";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"RN1";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN4";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"SW1";"";"SW_TACT_4P";"SW_TACT_SMALL";"";"";
"SW2";"";"SW_TACT_4P";"SW_TACT_SMALL";"";"";
"U1";"IC_MEM_W25X40CL";"IC_MEM_W25X40CL";"SOIC-8";"4M-Bit serial flash memory with 4KB sectors and Dual I/O SPI";"";
"U2";"IC_UC_STM32F103ZX";"IC_UC_STM32F103ZX";"TQFP-144";"STM32F103ZX";"";
"U3";"IC_FPGA_ICE40HX4K";"IC_FPGA_ICE40HX4K";"TQFP-144";"iCE40HX4K";"";
"VR1";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"VR2";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"VR3";"MCP1801T-1202I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"VR4";"MCP1801T-5002I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"XTAL1";"8Mhz";"OSC-XTAL-12M";"XTAL_4X6";"";"";
