"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C2";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C3";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C4";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C5";"2.2uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"CAP-11624";"2.2uF";
"C6";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"CAP-10300";"4.7uF";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"J1";"DNP";"CONN_14NO_SILK";"1X14_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J2";"DNP";"CONN_14NO_SILK";"1X14_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"JP1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP3";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP4";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP5";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"OLED1";"32x128 OLED";"OLED128X64SIDEREAR-MOUNT";"OLED-UG-2832TSWGG01-REAR";"Micro OLED";"LCD-13577";"32x128 OLED";
"R1";"390k";"390KOHM-0603-1/10W-1%";"0603";"390kΩ resistor";"RES-12024";"390k";
"R4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";
