"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"B1";"ESP32_THING_WO_ANT_KEEPOUT";"ESP32_THING_WO_ANT_KEEPOUT";"ESP32_THING_NO_ANT";"SparkFun ESP32 Thing Board";"";"";"";
"C4";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"0.1uF";
"C5";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"0.1uF";
"C7";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"10nF";
"C8";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"10uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"J1";"";"CONN_20NOSILK";"1X20_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J2";"MICRO-SD_CARD_SOCKET";"MICRO-SD_CARD_SOCKET";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"CONN-07820";"PRT-00127";"";
"J3";"";"CONN_20NOSILK";"1X20_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J4";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";
"J6";"3-PIN SMD";"CONN_03JST-SMD";"JST-3-SMD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-12591";"";"3-PIN SMD";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";
"R1";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"RES-07869";"";"470";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R3";"100K";"100KOHM-0402-1/16W-1%";"0402";"100kΩ resistor";"RES-13495";"";"100K";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R7";"100K";"100KOHM-0402-1/16W-1%";"0402";"100kΩ resistor";"RES-13495";"";"100K";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R12";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R13";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"R14";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";
"U1";"LSM9DS1";"LSM9DS1";"LGA-24-3.5X3";"ST Microelectronics LSM9DS1 9DOF IMU - Accelerometer, Gyroscope & Magnetometer";"IC-12536";"";"";
