"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"15pF";
"C2";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"15pF";
"C3";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"CAP-07886";"";"1nF";
"C4";"0.47uF";"CAP-0603";"0603";"";"";"";"";"";
"C5";"0.47uF";"CAP-0603";"0603";"";"";"";"";"";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C7";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"CAP-08310";"";"47uF";
"C8";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"CAP-08310";"";"47uF";
"C9";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C10";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"";"1.0uF";
"C11";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"";"1.0uF";
"C12";"22nF";"22NF/22,000PF-0603-50V-10%";"0603";"0.022uF/22nF/22,000pF ceramic capacitors";"";"CAP-07885";"";"22nF";
"C13";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"CAP-07888";"";"2.2uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"FD1";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
