"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SKU";"VALUE";
"C1";"2.2UF";"2.2UF50V10%(1206)";"1206@1";"CAP-10009";"CAP-10009";"";"2.2UF";
"C2";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"";"4.7uF";
"C3";"1.0uF";"1.0UF-0805-25V-10%";"0805";"1µF ceramic capacitors";"CAP-08064";"";"1.0uF";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"";"4.7uF";
"C5";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"";"2.2uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C7";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"CAP-07881";"";"15pF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C9";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"CAP-07881";"";"15pF";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C14";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"D1";"BAT20J";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diodes in SFE's production catalog";"DIO-11623";"";"BAT20J";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"RED";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"GREEN";
"D6";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D7";"WS2812B";"WS2812B";"WS2812B";"WS2812B SMD addressable RGB LED";"DIO-12503";"";"WS2812B";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"J1";"";"CONN_02JST-PTH-2";"JST-2-PTH";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09863";"PRT-09914";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";"";
"J3";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"CONN-13711";"";"";
"JP3";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"CONN-08197";"";"";
"JP6";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";"";
"JP7";"ARDUINO_UNO_R3LOCK_HOLES";"ARDUINO_UNO_R3LOCK_HOLES";"ARDUINO_R3_LOCK_HOLES";"Arduino R3 Footprint with SPI header";"";"";"";
"L1";"FB - 30Ohm";"INDUCTOR0603";"0603";"Inductors";"NDUC-07859";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";
