"Part";"Value";"Device";"Package";"Description";"TP_SIGNAL_NAME";
"3V3";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"B0";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"B1";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"B2";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"BOOT";"red";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"CN1";"JST-PH";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";
"D2";"SCHOTTKY";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";
"D3";"SCHOTTKY";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";
"GND";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"IC2";"MIC5225-3.3v";"LP298XS";"SOT23-5L";"";"";
"IC3";"ATTINY85";"ATTINY85V-10S";"SOIC8";"MICROCONTROLLER";"";
"PWR";"green";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"Q1";"reset";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";
"R1";"68 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R2";"68 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"1.5K (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R4";"470 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R5";"470 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"TP1";"TPB2,54";"TPB2,54";"B2,54";"Test pad";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"VBAT";"SEWTAP-2.0IN";"SEWTAP-2.0IN";"SEWINGTAP_2.0";"";"";
"X2";"MiniB";"USB_MEDIUM";"USB-MINI_MEDIUM";"USB Connectors";"";
