"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"3V3_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"BT1";"ML414H";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"BATT-14267";"";"";"";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C2";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"10uF";
"C3";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"CAP-14106";"";"";"4.7uF";
"C4";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C7";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";
"C8";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C13";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";
"C46";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"D1";"3.3V";"DIODE-ZENER-MM3Z3V3T1G";"SOD-323";"Zener Diode";"";"DIO-11284";"";"";"3.3V";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";
"D3";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"3A/10V/280mV";
"D4";"BAS70-05";"DIODE-SCHOTTKY-DUAL";"SOT23-3";"Diodes Incorporated - BAS70-05 Dual Schottky Diode";"";"DIO-14829";"";"";"BAS70-05";
"D5";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"D6";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"3A/10V/280mV";
"D7";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"RES-14313";"";"";"6V/2A";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
