"Part";"Value";"Device";"Package";"Description";"";
"BATT";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";
"C1";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C2";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C3";"10uF/10V";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C4";"4700uF/10V";"CPOL-USE5-13";"E5-13";"POLARIZED CAPACITOR, American symbol";"";
"CHRG/LBO";"ORANGE";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"CN1";"DCIN";"DCBARREL1.3MM";"DCJACK_1.3MM_PTH";"DC Barrel Jack";"";
"CN4";"";"USBMINIB";"USB-MINIB";"USB Connectors";"";
"D1";"MBR120VLSFT1G";"DIODESOD-123";"SOD-123";"Diode";"";
"D2";"0 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"DONE";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"IC1";"MCP73871";"MCP73871";"QFN20_4MM";"";"";
"JP1";"DCIN";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";
"JP2";"STATUS";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";
"JP3";"LOAD";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";
"JP4";"BATT";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";
"LOAD";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";
"PWR";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"R2";"270K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"1K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R8";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R10";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"2K";"R-US_FLIPFLOP";"0805-THM";"RESISTOR, American symbol";"";
"R12";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"RT2";"150K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"THERM";"10K";"R-US_FLIPFLOP";"0805-THM";"RESISTOR, American symbol";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
