"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C2";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"10nF";
"C3";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"10nF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"J1";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";
"JP5";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP6";"SMD";"CONN_04SMD";"1X04_SMD_RA_MALE";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09140";"PRT-12638";"";
"JP7";"JUMPER-SMT_2_NC_PASTE_SILK";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"Normally closed solder jumper";"";"";"";
"JP8";"JUMPER-SMT_3_1-NC_PASTE_SILK";"JUMPER-SMT_3_1-NC_PASTE_SILK";"SMT-JUMPER_3_1-NC_PASTE_SILK";"Normally closed solder jumper (1 of 2 connections)";"";"";"";
"JP9";"M01SMD-4.5X1.5";"M01SMD-4.5X1.5";"PAD-1.5X4.5";"Header 1";"";"";"";
"LED1";"Green";"LED-GREEN1206-BOTTOM";"LED-1206-BOTTOM";"Green SMD LED";"DIO-11076";"";"Green";
"LOGO1";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"600mA/40V";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R2";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"";"2.2k";
"R3";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"RES-08220";"";"200";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"U$1";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";
"U1";"AT42QT1010 - UDFN";"AT42QT1010UDFN";"UDFN/USON_8_PAD";"Atmel AT42QT1010";"IC-13773";"";"AT42QT1010 - UDFN";
