"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"10uF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"";"1A/23V/620mV";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"RED";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"J1";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";"";
"J3";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";"";
"J4";"AVR_SPI_PROG_3X2TESTPOINTS";"AVR_SPI_PROG_3X2TESTPOINTS";"2X3_TEST_POINTS";"AVR ISP 6 Pin";"";"";"";
"J5";"";"CONN_03-SCREW-5MM";"SCREWTERMINAL-5MM-3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-10134";"PRT-08433";"";
"JP1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP7";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"SMT-JUMPER_3_2-NC_TRACE_NO-SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";
"JP8";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP9";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP10";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"K1";"RELAY-SPDT";"RELAY-SPDT";"RELAY_G5LE";"SPDT Electromechanical Relay";"COMP-14214";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO2";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";
"Q4";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"600mA/40V";
"R1";"10";"10OHM-0603-1/10W-5%";"0603";"10Ω resistor";"RES-09834";"";"10";
"R2";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"330";
"R4";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"330";
"R6";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"";"2.2k";
"R7";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"";"2.2k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R9";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"U$3";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";
"U$4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";
"U3";"ATTINY85";"ATTINY85";"ATTINY85";"";"IC-09092";"";"";
