"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"10uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C5";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"47µF polarized capacitors";"CAP-08478";"47uF";
"C6";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"10uF";
"C7";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C9";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"47pF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C13";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"47pF";
"C14";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C15";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"10uF";
"D1";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"DIO-08053";"";
"F1";"6V/0.5A";"PTC-HALF_AMP";"1206";"Resettable Fuse PTC";"RES-08585";"6V/0.5A";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"IC3";"LM1117";"V_REG_LM1117ALT1";"SOT223-ALT1";"Voltage Regulator LM1117";"VREG-08170";"";
"J2";"ICSP";"AVR_SPI_PROG_3X2SMD";"2X3_SMT_POSTS";"AVR ISP 6 Pin";"CONN-11415";"";
"J3";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACK_SMD_OVERPASTE_SUPER_BOMB_DIGITY";"Power Jack";"CONN-08106";"";
"JP1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";
"JP2";"M10SMD_COMBO";"M10SMD_COMBO";"1X10_SMD_COMBINED";"Header 10";"CONN-11219";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP7";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP10";"JP10";"M08SMD-COMBO";"1X08_SMD_COMBINED";"Header 8";"CONN-10204";"";
"JP11";"IOL";"M08SMD-COMBO";"1X08_SMD_COMBINED";"Header 8";"CONN-10204";"";
"JP12";"USB-MINIB-5PIN";"USB-MINIB-5PIN";"USB-MINIB";"Mini-USB "B" connector with 5th pin broken out.";"CONN-08193";"";
"JP13";"AD";"M06SMD-STRAIGHT-COMBO";"1X06_SMD_STRAIGHT_COMBO";"Header 6";"CONN-10203";"";
"LED1";"Blue";"LED1206";"LED-1206";"LED (Generic)";"DIO-09911";"";
"LED2";"Green";"LED1206";"LED-1206";"LED (Generic)";"DIO-09910";"";
"LED3";"Red";"LED1206";"LED-1206";"LED (Generic)";"DIO-09912";"";
"LED4";"Yellow";"LED1206";"LED-1206";"LED (Generic)";"DIO-09909";"";
"Q1";"1A/60V/500mΩ";"MOSFET-PCH-ZXMP6A13F";"SOT23-3";"P-channel MOSFETs";"TRANS-08285";"1A/60V/500mΩ";
"Q2";"2N7002PW";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"TRANS-11151";"310mA/60V/1.6Ω";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R5";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"RES-09334";"27";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R9";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R10";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"RES-09334";"27";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R13";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R14";"715";"715OHM-0603-1/10W-1%";"0603";"715Ω resistor";"RES-07850";"715";
"R15";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"RES-07849";"240";
"S1";"RESET";"SWITCH_SPST_4_PINSQUARE";"TACTILE-SWITCH-SMD";"";"SWCH-08247";"";
"TP1";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP3";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP4";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP5";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP6";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"U$16";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"U1";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"IC-11524";"FT231XS";
"U2";"MIC5205";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"VREG-00822";"";
"U4";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"";"IC-09069";"ATMEGA328P_TQFP";
"Y1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"16MHz Resonator";"XTAL-08900";"16MHz";
