"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"ADD0";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"ADD1";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"C1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"1.0uF";
"C2";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"CAP-07886";"";"1nF";
"C3";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";
"J4";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"JP1";"I2C_EN";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";
"JP4";"JUMPER-SMT_3_NO_SILK";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"Normally open jumper";"";"";"";"";
"JP5";"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"L1";"100uH";"MA5532-AE";"MA5532-AE";"RFID Transponder Coil - MA5532-AE";"";"NDUC-11334";"";"100uH";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"U1";"AS3935";"AS3935QFN";"16LD_MLPQ";"AS3935 Franklin Lightning Sensor";"";"IC-11333";"";"AS3935";
