"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"BAT1";"9V";"BC9VPCKIT_SOLDERMASK";"BC9VPC_KIT";"9V board-mount battery cradle";"";"";"BATT-10855";"";
"C1";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"C2";"10uf";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C3";"10uf";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C4";"10uf";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C5";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"C6";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"C7";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"C8";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"C9";"1000uf/25V";"1000UF-25V(PTH)KIT";"CPOL-RADIAL-1000UF-25V-KIT";"CAP-08070";"";"";"CAP-09538";"1000uf/25V";
"C10";"1nf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-09182";"";
"C11";".1uf";"0.1UF-50V-20%(PTH)KIT-EZ";"CAP-PTH-SMALL-KIT";"CAP-08370";"";"";"CAP-08370";"";
"D1";"1n4148";"DIODEKIT";"DIODE-1N4148-KIT";"Diode";"";"";"DIO-08378";"";
"D2";"1n4148";"DIODEKIT";"DIODE-1N4148-KIT";"Diode";"";"";"DIO-08378";"";
"D3";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D100";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D101";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D200";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D201";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D300";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D301";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D400";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D401";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D500";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D501";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D600";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D601";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D700";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D701";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D800";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D801";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D900";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D901";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D1000";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"D1001";"1N5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"";"";"DIO-11895";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"IC1";"7555";"NE555KIT";"DIP08-KIT";"General purpose bipolar Timer";"digikey";"ICM7555IPAZ-ND";"";"";
"IC2";"LM358";"LM358KIT";"DIP08-KIT";"Jellybean op-amp";"";"";"IC-09172";"";
"IC3";"LM358";"LM358KIT";"DIP08-KIT";"Jellybean op-amp";"";"";"IC-09172";"";
"IC4";"LM358";"LM358KIT";"DIP08-KIT";"Jellybean op-amp";"";"";"IC-09172";"";
"IC5";"CD4013B";"CD4013";"DIL14-KIT";"Dual D-type Flip-Flop";"";"";"IC-11930";"CD4013B";
"IC6";"CD4017";"CD4017KIT";"DIL16-KIT";"";"Digikey";"296-2037-5-ND";"";"";
"JP1";"GATE";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP2";"CV1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP3";"TEMPO_CV";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP4";"CV2";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP5";"CV";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP6";"VCC";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP7";"GND";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP100";"STEP1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP200";"STEP2";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP300";"STEP3";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP400";"STEP4";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP500";"STEP5";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP600";"STEP6";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP700";"STEP7";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP800";"STEP8";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP900";"STEP9";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP1000";"STEP10";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"LED1";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED100";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED200";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED300";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED400";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED500";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED600";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED700";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED800";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED900";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LED1000";"RED";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"DIO-09529";"";
"LOGO1";"SPARKPUNK_LOGO.2_INCH_TALL";"SPARKPUNK_LOGO.2_INCH_TALL";"SPARKPUNK_LOGO_.2";"";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO3";"SPARKPUNK_LOGO.1INCH_TALL";"SPARKPUNK_LOGO.1INCH_TALL";"SPARKPUNK_LOGO_.1";"";"";"";"";"";
