"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"C1";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C2";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C3";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C4";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"D1";"RB751";"RB751";"SOD-523";"40V 120mA SOD-523 Schottky";"";"";"DIO-11018";"RB751";
"D2";"RB751";"DIODE-SCHOTTKY";"SOD-523";"Commonly MBRA140.";"";"";"DIO-11018";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"J1";"PROG_HDR";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"JP1";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";
"JP2";"M02-JST-2MM-SMT";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"";"";"CONN-08352";"";
"JP3";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP4";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";"";"";"";
"JP5";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP6";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"JP7";"";"M05PTH";"1X05";"Header 5";"";"";"";"";
"Q1";"";"IRF7509";"MSOP8";"30V Dual PMOS/NMOS MSOP-8";"";"";"TRANS-07913";"";
"R1";"1M";"1MOHM1/10W1%(0603)";"0603-RES";"RES-07868";"";"";"RES-07868";"";
"R2";"1M";"1MOHM1/10W1%(0603)";"0603-RES";"RES-07868";"";"";"RES-07868";"";
"R3";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"RES-00824";"10k";
"R4";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"RES-00824";"10k";
"U1";"ADXL362";"ADXL362ADXL362-1:1";"ADXL362-1:1";"Micropower 3-axis accelerometer";"";"";"";"";
"U2";"";"ATTINY2313A";"SOP20W";"ATTINY2313A";"DIGIKEY";"ATTINY2313A-SU-ND";"IC-11305";"ATTINY2313A";
"U3";"ADP160-3.3";"ADP160";"SOT23-5";"Nanopower LDO";"Digikey";"ADP160AUJZ-3.3-R7TR-ND";"VREG-11306";"ADP160";
