"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"$1_25_$_2020-03-30_22-52-05";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"BT1";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"BATT-14267";"";"";"";
"C1";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C2";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";
"C3";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"CAP-15061";"";"";"1nF";
"C4";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"CAP-15061";"";"";"1nF";
"C5";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";
"C6";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C8";"47pF";"47PF-0402-25V-5%-X7R";"0402";"47pF ceramic capacitors";"";"CAP-15063";"";"";"47pF";
"C9";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";
"D1";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"DIO-15071";"";"";"15V";
"D2";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"DIO-15071";"";"";"15V";
"D3";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"DIO-14084";"";"";"";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"D5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D6";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D7";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D8";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";
"FB1";"120NH";"FERRITE_BEAD_GNSS";"0402_MURATA";"";"";"NDUC-15072";"";"";"120NH";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"J1";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J2";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
"J3";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
