"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"";"M04PTH";"1X04";"Header 4";"CONN-09696";"";
"J2";"";"M03PTH";"1X03";"Header 3";"";"";
"J3";"";"M04PTH";"1X04";"Header 4";"CONN-09696";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"SJ1";"JUMPER-PAD-2-NC_BY_PASTEFULL-BOX-SILK";"JUMPER-PAD-2-NC_BY_PASTEFULL-BOX-SILK";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ2";"JUMPER_PAD-3-1&2_NC_BY_PASTE";"JUMPER_PAD-3-1&2_NC_BY_PASTE";"PAD-HUMPER-3-1&2_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"U1";"MPU-9250";"MPU-9250";"QFN24_PAD";"NC pin 19. 2-6 & 14-17 not internally connected. May be used for PCB trace routing.";"IC-13192";"";
