"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"A1";"QWIIC_BOARD_OUTLINEH";"QWIIC_BOARD_OUTLINEH";"QWIIC_BOARD_MOUNT_HOLES";"Standard Outline of a Qwiic Board. Good for defining a spot on shields and board areas in which to mount a Qwiic Board.";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"0.1uF";"";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"0.1uF";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"RED";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"v01";
"J1";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";
"J3";"";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"JP1";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"JP2";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";
"JP3";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"2.2k";"";
"R2";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"2.2k";"";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"1k";"";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"U1";"BMP388BMP388";"BMP388BMP388";"LGA-10(2X2)";"Bosch BMP3388 Pressure Sensor";"";"IC-14045";"";"";
