"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C2";"560pF";"560PF-50V-5%(0603)";"0603-CAP";"CAP-08749";"";"CAP-08749";"560pF";"";
"C3";"560pF";"560PF-50V-5%(0603)";"0603-CAP";"CAP-08749";"";"CAP-08749";"560pF";"";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"CAP-08280";"4.7uF";"";
"C5";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"";"CAP-07876";"22pF";"";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C7";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"";"CAP-07876";"22pF";"";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C9";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";"";
"D1";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"DIO-08053";"";"";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"D4";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";"";
"D5";"PESD1CAN";"PESD1CAN";"SOT23-3";"PESD1CAN is used to protect two automotive CAN bus lines from ESD.";"";"DIO-12501";"";"";
"F1";"";"PTCTHERMISTOR1206";"PTC-1206";"Resettable Fuse PTC";"";"RES-08585";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Sukkin Pang and Ryan Owens";"";"";"v13";
"JP1";"DNP";"M03POLAR_LOCK";"MOLEX-1X3_LOCK";"Header 3";"";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"JP3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"JP4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"JP5";"DNP";"M04PTH";"1X04";"Header 4";"";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";
"Q1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints.";"";"XTAL-08218";"";"";
"R1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R2";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R3";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R10";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"100";"";
"R12";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"100";"";
"R13";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"4.7K";"";
"S2";"RESET";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";
"SJ1";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ2";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ3";"JUMPER-PAD-2-NC_BY_TRACE";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"SJ4";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ5";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ6";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
