"Part";"Value";"Device";"Package";"Description";"DESC";"MANUF";"PARTNUM";"SUPPLIER";"VALSTAT";
"C1";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C2";"27pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C3";"27pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C4";"10uF ESR<=5";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";"";"";"";
"C5";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C6";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C7";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C8";"4.7uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C9";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";"";"";"";
"C10";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C11";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C12";"560pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C13";"560pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C14";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C15";"2.2uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C16";"470pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C17";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";
"C18";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";"";"";"";
"D1";"BAS16";"DIODESOD";"SOD-323";"Diode";"";"";"";"";"";
"D2";"BAS16";"DIODESOD";"SOD-323";"Diode";"";"";"";"";"";
"D3";"BAS16";"DIODESOD";"SOD-323";"Diode";"";"";"";"";"";
"D4";"MBRA140";"DIODESMA";"SMA-DIODE";"Diode";"";"";"";"";"";
