"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"18pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C5";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C6";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C7";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C8";"18pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C9";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C10";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C11";"47nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C12";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C13";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C14";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C15";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C16";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C17";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C18";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C19";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C20";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C21";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C22";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C23";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C24";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"JP1";"M10"";"M10"";"1X10";"Header 10";"";
"JP2";"M10"";"M10"";"1X10";"Header 10";"";
"JP3";"";"M07";"1X07";"Header 7";"";
"JP4";"";"JUMPER-2SMD-NC";"SJ_2S";"Jumper";"";
"LED1";"Power";"LED0603";"LED-0603";"LEDs";"";
"Q1";"12.288MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Crystals";"";
"R1";"1M";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"20";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"10";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R8";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R9";"20";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R10";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R11";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R12";"470";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R13";"470";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R14";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R15";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R16";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R17";"100k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"U$2";"2.8";"V_REG_LDOSMD2";"SC70";"Voltage Regulator LDO";"";
"U$4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$6";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"U$7";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U$12";"1.8";"V_REG_LDOSMD2";"SC70";"Voltage Regulator LDO";"";
"U1";"3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"U2";"VS1053";"VS1033";"LQFP-48";"";"";
