"Part";"Value";"Device";"Package";"Description";"SFENUM";
"C1";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C6";"470pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C7";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C8";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C9";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C10";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C11";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C12";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"D1";"RED";"LED0603";"LED-0603";"LEDs";"";
"D2";"GREEN";"LED0603";"LED-0603";"LEDs";"";
"D3";"3.6V";"DIODE-ZENER-BZT52";"SOD-323";"Zener Diode";"";
"D4";"3.6V";"DIODE-ZENER-BZT52";"SOD-323";"Zener Diode";"";
"D5";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D6";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D7";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D8";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D9";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D10";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"D11";"3.6V";"DIODE-ZENER-BZT52";"SOD-323";"Zener Diode";"";
"JP1";"JST";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"";
"JP2";"1X2";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP3";"AVR_Prog";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";
"JP4";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";
"JP5-DNP";"BLUESMIRF";"M06SIP";"1X06";"Header 6";"";
"JP6-DNP";"XBEE";"XBEE-1B1";"XBEE-1";"";"";
"JP7";"1X8";"M09";"1X09";"Header 9";"";
"JP8";"1X2";"M02PTH";"1X02";"Header 2";"";
"JP9-DNP";"RJ11-RAIN";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"";
"JP10-DNP";"RJ11-WIND";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"";
"LOGO1";"OSHW_LOGO_FILLX0100-NT";"OSHW_LOGO_FILLX0100-NT";"OSHW_FILLX100_NOTEXT";"";"";
"R1";"750";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"180";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"4.7K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"4.7K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"3.9K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R8";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R9";"2.2K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R10";"2.2K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R11";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R12";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R13";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R14";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R15";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R16";"1K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R17";"4.7K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"S1";"POWER";"SWITCH-SPSTSMD";"AYZ0202";"SPST Switch";"";
"S2";"RESET";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";
"S3";"COM";"SWITCH-DPDTSMD";"AYZ0202";"DPDT Version of the COM-00597";"";
"SJ1";"LIGHT";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";
"SJ2";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
