"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_SKU";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C4";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C5";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-11330";"";"10uF";"";
"C6";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"10uF";"";
"C7";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";"CAP-07876";"";"22pF";"";
"D1";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diode";"";"DIO-09886";"";"3A/40V/500mV";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"";"v01";
"J1";"AMP FCI 10103594-0001LF";"USB_MICRO-B_HALF_PTH";"USB-MICROB-PTH";"USB Type Micro-B Connector";"";"CONN-13711";"";"AMP FCI 10103594-0001LF";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";
"JP1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP4";"";"M08";"1X08";"Header 8";"";"";"";"";"";
"JP5";"M10"";"M10"";"1X10";"Header 10";"";"";"";"";"";
"JP6";"";"M06SIP";"1X06";"Header 6";"";"";"";"";"";
"JP7";"";"M081X08";"1X08";"Header 8";"";"";"";"";"";
"JP8";"";"XBEESMD";"XBEE-SMD";"Digi XBee and XBee Pro";"";"CONN-09042";"";"";"";
"JP9";"JUMPER-SMT_3_1-NC_PASTE_SILK";"JUMPER-SMT_3_1-NC_PASTE_SILK";"SMT-JUMPER_3_1-NC_PASTE_SILK";"Normally closed solder jumper (1 of 2 connections)";"";"";"";"";"";
"JP10";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP11";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"L1";"1uH";"INDUCTOR-SRP4020-1UH";"INDUCTOR-SRP4020";"Inductors";"";"NDUC-12274";"";"1uH";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
"LED2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";"";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R6";"200k";"200KOHM-0603-1/10W-1%";"0603";"200kΩ resistor";"";"RES-09385";"";"200k";"";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";"";
"R8";"180k";"180KOHM-0603-1/10W-1%";"0603";"RES-10066";"";"RES-10066";"";"180k";"";
"R9";"820k";"820KOHM-0603-1/10W-1%";"0603";"820kΩ resistor";"";"RES-13247";"";"820k";"";
"S1";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-08247";"COM-08720";"";"";
"S2";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-08247";"COM-08720";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"TP3";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"U1";"USD-SOCKETNEW";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"microSD Socket";"";"CONN-7820";"";"";"";
"U2";"ARDUINO_UNO_R3_SHIELDUNO_R3_SHIELD_NOLABELS_LOCK";"ARDUINO_UNO_R3_SHIELDUNO_R3_SHIELD_NOLABELS_LOCK";"UNO_R3_SHIELD_NOLABELS_LOCK";"Arduino R3 Shield Footprint";"";"";"";"";"";
"U3";"74HC4050";"HEX_CONVERTER";"SO16";"74HC4050 Hex Buffer";"";"IC-09604";"";"74HC4050";"";
"U4";"PCA9306";"PCA9306PCA9306DC-1:1";"PCA9306DC";"Bidirectional I2C level shifter";"";"IC-10023";"";"PCA9306";"";
"U5";"TPS62065";"TPS62065";"WSON-8-PAD";"TPS62065 DC/DC step-Down regulator.";"";"IC-12273";"";"";"";
