"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"";"10uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C7";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"";"10uF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-08053";"";"MBRA140";
"D2";"YELLOW";"LED-YELLOWLARGE";"LED-1206";"Yellow SMD LEDs";"DIO-00820";"";"YELLOW";
"D3";"GREEN";"LED-GREENLARGE";"LED-1206";"Various green LEDs";"DIO-00862";"";"GREEN";
"D4";"GREEN";"LED-GREENLARGE";"LED-1206";"Various green LEDs";"DIO-00862";"";"GREEN";
"D5";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"DIO-00809";"";"RED";
"F1";"PTCTHERMISTOR1206";"PTCTHERMISTOR1206";"PTC-1206";"Resettable Fuse PTC";"RES-08585";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"RS232";"DB9FEMALE";"DB9";"DB9 Connector";"CONN-08194";"";"";
"JP2";"";"M11PTH";"1X11";"Header 11";"";"";"";
"JP3";"";"M11PTH";"1X11";"Header 11";"";"";"";
"JP4";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"CONN-08197";"PRT-00119";"";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";
"Q1";"MBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Generic NPN BJT";"TRANS-08049";"";"";
"R1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R3";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R4";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R5";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"RES-07864";"";"390";
"R6";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"RES-07849";"";"240";
"R7";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R11";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"S1";"AYZ0202";"AYZ0202";"AYZ0202";"SPDT Slide Switch";"SWCH-08179";"";"";
"S3";"TAC_SWITCHSMD";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";"";
"SJ1";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ2";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP3";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP4";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP5";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP6";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";
"U$1";"REVISION";"REVISION";"REVISION";"";"";"";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U$7";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"U$9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U$10";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U$11";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U$16";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"U1";"MAX232SOIC16";"MAX232SOIC16";"SO016";"RS232 Transceiver";"IC-08171";"";"";
"U2";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"Xbee module footprints";"CONN-09042";"";"";
"U3";"LM117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"VREG-08170";"";"";
