"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C2";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"4.7uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";
"JP1";"";"M03X2SMT";"2X3_SMT_POSTS";"2x3 .1" header.";"";"CONN-11415";"";"";
"JP2";"";"M03X2FEMALE_SMD";"2X3_SMD";"2x3 .1" header.";"";"CONN-11290";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";
"Q1";"220mA/50V/3.5Ω";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"TRANS-00830";"";"220mA/50V/3.5Ω";
"Q2";"220mA/50V/3.5Ω";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"TRANS-00830";"";"220mA/50V/3.5Ω";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"U1";"MMA8452Q";"MMA8452Q";"QFN-16";"NXP MMA8452Q 3-Axis Digital Accelerometer";"";"IC-10769";"";"";
"U2";"MIC5205-3.3V";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"";"VREG-00822";"";"";
