"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"10uF";"";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Byron Jacquot";"";"";"V10";
"JP1";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP2";"SERVO-OUT";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";"";
"JP3";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP4";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP9";"";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SFE Logo, name only";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";"";"";"";
"R1";"10k";"TRIMPOTRES-11156";"TRIMPOT_5MM";"Various small potentiometers for "set-and-forget" applications";"";"RES-11156";"";"";
"R2";"10k";"TRIMPOTRES-11156";"TRIMPOT_5MM";"Various small potentiometers for "set-and-forget" applications";"";"RES-11156";"";"";
"R3";"10k";"TRIMPOTRES-11156";"TRIMPOT_5MM";"Various small potentiometers for "set-and-forget" applications";"";"RES-11156";"";"";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R6";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"SJ1";"N.O.";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"SJ2";"N.O.";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"TP1";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP2";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP3";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U1";"ATTINY84";"ATTINY84";"SO14";"Atmel 14-pin 2/4/8kB flash uC";"";"IC-11285";"";"";
"Y1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"";"XTAL-08900";"16MHZ";"";
