"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C8";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C11";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C12";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C13";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C20";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C21";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C22";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C23";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C24";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"IC1";"";"PIC24FJ64GA002";"SO28W";"";"";
"IC2";"MAX3232CSE";"MAX3232CSE";"SO16";"True RS-232 Transceivers 3.0V to 5.5V, Low-Power";"";
"ICSP";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"J1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"R1";"2K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R2";"330R";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R3";"330R";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R4";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R5";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R6";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R7";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R8";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R9";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R10";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R12";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R13";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R20";"";"R-EU_0207/12";"0207/12";"RESISTOR, European symbol";"";
"R21";"";"R-EU_0207/12";"0207/12";"RESISTOR, European symbol";"";
"R22";"";"R-EU_0207/12";"0207/12";"RESISTOR, European symbol";"";
"R23";"";"R-EU_0207/12";"0207/12";"RESISTOR, European symbol";"";
"SV4";"";"MA05-2";"MA05-2";"PIN HEADER";"";
"SV5";"";"MA04-2";"MA04-2";"PIN HEADER";"";
"VR1";"3.3V";"LD117AS12TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";
"VR2";"5V";"LD117AS12TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";
"VR3";"TPS796XX";"TPS796XX";"SOT223-6";"";"";
"VR4";"TPS796XX";"TPS796XX";"SOT223-6";"";"";
"X2";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X3";"";"F09H";"F09H";"SUB-D";"";
"X4";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
