"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"N. Seidle";"";"";"v10";
"JP1";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP2";"";"M06SMD";"1X06-SMD";"Header 6";"";"CONN-08971";"RA 6Pin SMD";"";
"JP3";"Anchor";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP4";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP5";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP6";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP7";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP8";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP9";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP10";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP11";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP12";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"JP13";"";"M06SMD";"1X06-SMD";"Header 6";"";"CONN-08971";"RA 6Pin SMD";"";
"JP14";"Anchor";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"R1";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R2";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R3";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R4";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R5";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R6";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R7";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"R8";"15";"15OHM-1/10W-1%(0603)0603";"0603-RES";"";"";"RES-12570";"15";"";
"U1";"TPIC6C596";"TPIC6C596SOIC";"SO016";"SMD version of the popular sink driver. This version can sink up to 100mA per channel";"";"IC-12522";"TPIC6C596";"";
