"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"";"10uF";"";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C3";"22uF";"22UF-6.3V-20%(0805)";"0805";"CAP-08402";"";"CAP-08402";"";"22uF";"";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C5";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C7";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C10";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
"C11";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-08053";"";"MBRA140";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Jim Lindblom";"";"";"";"v01";
"JP1";"USB";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"";"CONN-11752";"";"";"";
"JP2";"POWER";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"CONN-08197";"PRT-00119";"";"";
"JP3";"DNP";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"CONN-08437";"";"";"";
"JP4";"DNP";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"JP5";"ARDUINO_R3_NOISPLOCKING";"ARDUINO_R3_NOISPLOCKING";"ARDUINO_R3_NOISP_LOCKING";"";"";"";"";"";"";
"JP6";"DNP";"M10X2";"2X10";"This was SPECIALLY designed to be used with our Graphic LCD Backpack.  Be sure you want to use this!  It is not only staggered on each line of header holes, but IT IS ALSO offset of the center point of the top and bottom lines by 5 mil.  This causes the headers to lock into place on the "standard" footprint on the LCD screen.  The extra squares on the tdocu layer are there simply to reference other pins (if you were to actually populate a longer header than ten long - this is what we do with the backpacks).";"";"";"";"";"";
"LED1";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"";"DIO-00809";"";"RED";"";
"LED2";"BLUE";"LED-BLUE1206";"LED-1206";"Blue LEDs for production use";"";"DIO-09911";"";"BLUE";"";
"LED3";"RGB LED";"LED-TRICOLOR-NO-COMPLCC-6-SMD";"PLCC-6-LED";"";"";"DIO-12113";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME_.4";"SFE Logo, name and flame";"";"";"";"";"";
"R1";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"";"RES-08698";"";"22";"";
"R2";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"";"RES-08698";"";"22";"";
"R3";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R4";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"";"RES-07864";"";"390";"";
"R5";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"";"RES_10328";"";"300";"";
"R6";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R7";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"RES-07849";"";"240";"";
"R8";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R9";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R10";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"";"RES_10328";"";"300";"";
"S1";"RESET";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";" SWCH-08441";"";"";"";
"S2";"MODE";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";" SWCH-08441";"";"";"";
"SJ1";"PWR-LED";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";
"SJ2";"D7-LED";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP3";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP4";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP5";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP6";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP7";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP8";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP9";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP10";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"U1";"WM-N-BM-14";"WM-N-BM-14";"WM-N-BM-14";"";"";"IC-12589";"";"";"";
"U2";"";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";
