"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"B1";"6.8MM_COIN_CELL";"BATTERY-6.8MM_SMD";"BATTCON-6.8MM";"Battery - Single Cell";"BATT-13734";"";"6.8MM_COIN_CELL";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C2";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D2";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"DIO-10955";"";"0.5A/40V/420mV";
"FB1";"600Ohm/100MHz";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"NDUC-07859";"";"30Ω/1.8A";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"J1";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"CONN-09193";"WRL-09144";"U.FL";
"J2";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13729";"";"Qwiic Right Angle";
"J3";"PTH";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";
"J4";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13729";"";"Qwiic Right Angle";
"J5";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J7";"";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP1";"";"JUMPER-SMT_3_2-NC_PASTE_SILK";"SMT-JUMPER_3_2-NC_PASTE_SILK";"Normally closed solder jumper (2 of 2 connections)";"";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP5";"";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP8";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"L1";"33nH/±5%/500mA";"INDUCTOR-0603-33NH";"0603";"Inductors";"NDUC-07874";"";"33nH/±5%/500mA";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO3";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R3";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"RES-07869";"";"470";
"R5";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R6";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"RES-07869";"";"470";
"R7";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"R8";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"R11";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"RES-07869";"";"470";
"U$3";"SPECIAL_INSTRUCTIONS-PRODUCTION";"SPECIAL_INSTRUCTIONS-PRODUCTION";"PRODUCTION_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";
"U1";"Titan X1 GPS";"TITAN_X1_GPS";"TITAN_X1_GPS";"Titan X1 GPS";"GPS-13693";"";"Titan X1 GPS";
