"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"NAME";"";"";"v01";
"GND";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";"";"";
"JP5";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP6";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"R1";"4.7k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R2";"4.7k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"SJ1";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ2";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"MCP4725";"MCP4725SOT-23";"SOT23-6";"Microchip 12-bit I2C DAC, SOT23-6";"";"IC-08886";"MCP4725";"";
