"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"10uF";
"C4";"DNP";"1.0PF-0603-50V-25%";"0603";"1pF ceramic capacitors";"CAP-07879";"1.0pF";
"C5";"DNP";"1.0PF-0603-50V-25%";"0603";"1pF ceramic capacitors";"CAP-07879";"1.0pF";
"C6";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C7";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C8";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"J1";"";"CONN_09NO_SILK";"1X09_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"JP1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP3";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP4";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";
"JP5";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";
"JP6";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";
