"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"47pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"47pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M06SIP-NS";"1X06_NS";"Header 6";"";
"JP2";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";
"JP3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP10";"";"M07NS";"1X07_NS";"Header 7";"";
"JP11";"";"M07NS";"1X07_NS";"Header 7";"";
"LED1";"RED";"LED0603";"LED-0603";"LEDs";"";
"LED2";"YELLOW";"LED0603";"LED-0603";"LEDs";"";
"Q1";"2N7002PW";"MOSFET-NCHANNELSOT323";"SOT323";"Generic NMOS footprint";"";
"R1";"27";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"27";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"SJ1";"";"SOLDERJUMPER_2WAYS";"SJ_3";"Solder Jumper";"";
"SJ2";"TXLED";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"SJ3";"RXLED";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U1";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"";
"X1";"USB-MICROB";"USB-MICROB";"USB-MICROB";"USB Connectors";"CONN-09505";
