"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C1";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"";"";"10uF";
"C2";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"";"";"15pF";
"C3";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"";"";"15pF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"1.0uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C9";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C12";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"1.0uF";
"C13";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"";"";"10uF";
"C14";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C15";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"D1";"Green";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"";"GREEN";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"";"BLUE";
"D3";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"";"";"1A/23V/620mV";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"";"BLUE";
"D6";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"";"Yellow";
"F1";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"RES-08585";"";"";"6V/0.5A";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";
"J1";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"CONN-13711";"";"";"";
