"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"J1";"EDGE-80PTH-RA";"EDGE-80PTH-RA";"VEC-127-080-R";"Card edge connector (80 pin) for accepting a PCB with finger edge pins. This connector will accept the BBC micro:bit board.";"CONN-13452";
"J2";"M22PTH";"M22PTH";"1X22";"Standard 22-pin 0.1" header";"CONN-13453";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";
