"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"IC1";"AT42QT1070-SSU";"AT42QT1070-SSU";"SO14";"QTouch 5-channel standalone sensor IC";"";
"JP1";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"JP3";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED5";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R10";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U$1";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$2";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$3";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$4";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
