"Part";"Value";"Device";"Package";"Description";"PROD-ID";"PROD_ID";"VALUE";
"C1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"CAP-00867";"10nF";
"C2";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";
"C3";"22uF";"22UF-6.3V-20%(0805)";"0805";"CAP-08402";"";"CAP-08402";"22uF";
"C4";"10uF";"10UF-6.3V-20%(1206)";"1206";"CAP-10057";"";"CAP-10057";"10uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";
"C7";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"10uF";
"C8";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"CAP-08280";"4.7uF";
"C9";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"CAP-08280";"4.7uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";"";"";
"JP2";"";"M06NO_SILK";"1X06_NO_SILK";"Header 6";"";"";"";
"JP3";"";"M08NO_SILK";"1X08_NO_SILK";"Header 8";"";"";"";
"JP4";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP7";"";"M06NO_SILK";"1X06_NO_SILK";"Header 6";"";"";"";
"JP8";"";"M08NO_SILK";"1X08_NO_SILK";"Header 8";"";"";"";
"JP9";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";
"JP10";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";
"JP11";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"CONN-08193";"";
"JP13";"";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"";"CONN-08352";"";
"L1";"4.7uH, 1.2A";"INDUCTORINDUCTOR_4.7UH";"INDUCTOR_4.7UH";"Inductors";"";"NDUC-10146";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";
"R1";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";
"R2";"4.7k";"4.7KOHM1/10W1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"4.7K";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"RES-00818";"330";
"R4";"2M";"2MOHMS-1/10W-1%(0603)";"0603-RES";"RES-10054";"";"RES-10054";"2.0M";
"R5";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";
"R6";"220k";"220KOHM1/10W1%(0603)";"0603-RES";"RES-08969";"";"RES-08969";"220k";
"R7";"2.0M";"2MOHMS-1/10W-1%(0603)";"0603-RES";"RES-10054";"";"RES-10054";"2.0M";
"R8";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";
"R9";"200k";"200KOHM1/10W1%(0603)200K";"0603-RES";"RES-09385";"";"RES-09385";"200k";
"R10";"DNP";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";
"R11";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";
"R12";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"RES-00818";"330";
"S2";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"SPDT Switch";"";"";"";
"SJ1";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";
"SJ2";"PS";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";
"SJ3";"SDA";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ4";"SCL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
