"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C2";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"";"0.1uF";
"C3";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"";"0.1uF";
"C5";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"CAP-12417";"";"";"1.0uF";
"C6";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C7";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C8";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"D1";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diode";"DIO-09886";"";"";"3A/40V/500mV";
"D10";"XZM2CRKM2DGFBB45SCCB";"SUNLEDSMD1";"PLCC4SMDLED";"LED-RGB Common Cathode";"DIO-13722";"";"";"XZM2CRKM2DGFBB45SCCB";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"J1";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J2";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J3";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J4";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J5";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J6";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J7";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
