"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY";"PROD_ID";"REV";"SF_ID";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"CAP-11015";"";"";"10uF";
"C2";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"CAP-00868";"";"";"1.0uF";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C5";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"CAP-07888";"";"";"2.2uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C8";"12pF";"12PF-0603-50V-5%";"0603";"12pF ceramic capacitors";"";"";"CAP-09137";"";"";"12pF";
"C9";"12pF";"12PF-0603-50V-5%";"0603";"12pF ceramic capacitors";"";"";"CAP-09137";"";"";"12pF";
"C10";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"CAP-07881";"";"";"15pF";
"C11";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"CAP-07881";"";"";"15pF";
"C12";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"CAP-00868";"";"";"1.0uF";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C15";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"CAP-00868";"";"";"1.0uF";
"C16";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"CAP-08604";"";"";"0.1uF";
"C17";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"CAP-11015";"";"";"10uF";
"C18";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"CAP-00868";"";"";"1.0uF";
"C19";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"CAP-00868";"";"";"1.0uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"DIO-08575";"";"";"BLUE";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"DIO-00821";"";"";"GREEN";
"D3";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"DIO-09003";"";"";"Yellow";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"DIO-00819";"";"";"RED";
"D5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"DIO-08575";"";"";"BLUE";
"D6";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"DIO-14084";"";"";"";
"E1";"SPH0641LM4H-1";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1 Microphone";"";"";"IC-14361";"";"";"SPH0641LM4H-1";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"Owen Lyke, Kyle Wenner";"";"";"v10";"";"";
"J1";"USB";"USB_C_2-LAYER";"USB-C-16P";"USB Type C 16Pin Connector";"";"";"CONN-14122";"";"";"";
"J2";"CORTEX_JTAG_DEBUG_MINIMUM_PTH";"CORTEX_JTAG_DEBUG_MINIMUM_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";
"J3";"CORTEX_JTAG_DEBUG_PTH";"CORTEX_JTAG_DEBUG_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";
"J4";"SMD";"CONN_08SMD-COMBO-FEMALE";"1X08_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"CONN-10204";"";"PRT-11543";"";
"J5";"";"CONN_12SMD_COMBINED";"1X12_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"CONN-15197";"";"";"";
"J6";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J7";"CAMERA-HIMAXBOTTOM-CONTACT";"CAMERA-HIMAXBOTTOM-CONTACT";"FPC-24-AMPHENOL-SFV24R-1STE1HLF";"";"";"609-4320-2-ND";"CONN-14233";"";"";"";
"J8";"PTH";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J9";"";"CONN_12SMD_COMBINED";"1X12_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"CONN-15197";"";"";"";
"J12";"PTH";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J14";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J22";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J23";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J24";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
