"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C5";"22pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C7";"22pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C8";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C9";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C11";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C12";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C13";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C14";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"D1";"Yellow";"LED0603";"LED-0603";"LEDs";"";"";
"D2";"Green";"LED0603";"LED-0603";"LEDs";"";"";
"D3";"Red";"LED0603";"LED-0603";"LEDs";"";"";
"D4";"Yellow";"LED0603";"LED-0603";"LEDs";"";"";
"D5";"Yellow";"LED0603";"LED-0603";"LEDs";"";"";
"D6";"Blue";"LED0603";"LED-0603";"LEDs";"";"";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"M14";"M14";"1X14";"Header 14";"";"";
"JP2";"M14";"M14";"1X14";"Header 14";"";"";
"JP3";"";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"";"";
"JP4";"AVR_SPI";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP6";"External Charge";"M02PTH";"1X02";"Header 2";"";"";
"JP7";"External Switch";"M02PTH";"1X02";"Header 2";"";"";
"JP8";"";"M01PTH";"1X01";"Header 1";"";"";
"JP9";"";"M01PTH";"1X01";"Header 1";"";"";
"JP10";"FIDUCIALUFIDUCIAL";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
