"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"4.7uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"RED";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"I2C";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";
"J1";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";
"J3";"PTH";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";
"J4";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";
"J5";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"JP1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"JP9";"INT";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO2";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R4";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"2.2k";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"2.2k";
"U$1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";
"U$2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"U2";"VL53L1X";"VL53L1XSMD";"VL53L1X";"STMicroelectronics VL53L1X - 400 cm IR Laser ToF Sensor";"IC-13960";"";
