"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"A1";"";"ANTENNA2.4GHZ-8.0X1.0MM";"ANT-2.4GHZ-8.0X1.0MM";"Single-ended Antennae";"";"ANT-14377";"";"";
"C1";"270pF";"270PF-0402T-50V-5%";"0402-TIGHT";"270pF/0.27nF ceramic capacitors";"";"CAP-15129";"";"270pF";
"C2";"270pF";"270PF-0402T-50V-5%";"0402-TIGHT";"270pF/0.27nF ceramic capacitors";"";"CAP-15129";"";"270pF";
"C3";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"CAP-14665";"";"12pF";
"C4";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"CAP-14665";"";"12pF";
"C5";"10nF";"10NF-0402T-25V-10%";"0402-TIGHT";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-14847";"";"10nF";
"C6";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C7";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"4.7uF";
"C8";"DNP";"CAP-0402-TIGHT";"0402-TIGHT";"";"";"";"";"";
"C9";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C10";"DNP";"CAP-0402-TIGHT";"0402-TIGHT";"";"";"";"";"";
"C17";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C18";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"CAP-13458";"";"100pF";
"C20";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C21";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C22";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";
"C23";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C24";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C25";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C26";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C27";"3.0nF";"3.0NF-0402T-50V-5%";"0402-TIGHT";"3.0nF (3nF, 3000pF) ceramic capacitors";"";"CAP-15130";"";"3.0nF";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"BLUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";
"J1";"MICROMOD-2222";"MICROMOD-2222";"M.2-CARD-E-22";"MicroMod Connector";"";"";"";"";
"L1";"0";"0OHM-0402T-1/10W";"0402-TIGHT";"0Ω resistor";"";"RES-14244";"";"0";
"LOGO1";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"Q2";"MBT3904DW1T1";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Dual NPN Transistors in Single Package";"";"TRANS-13337";"";"";
"R1";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
"R2";"20k";"20KOHM-0402T-1/16W-1%";"0402-TIGHT";"20kΩ resistor";"";"RES-15131";"";"20k";
"R3";"22k";"22KOHM-0402_TIGHT-1/10W-1%";"0402-TIGHT";"22kΩ resistor";"";"RES-14281";"";"22k";
"R4";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"RES-15128";"";"33k";
"R5";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R8";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"1k";
"R9";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
"R17";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
"R18";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
"U1";"W25QXX128MBIT-6X5";"W25QXX128MBIT-6X5";"WSON-8-6X5";"";"";"IC-15107";"";"";
"U2";"ESP32";"ESP32";"QFN48-0.4MM";"Espressif ESP32";"";"IC-13338";"";"";
"U4";"CP210X";"CP2102N";"QFN24";"";"";"IC-14020";"";"";
"Y1";"40MHz";"CRYSTAL-40MHZ-SMD-2X2.5MM";"CRYSTAL-SMD-2X2.5MM";"40MHz Crystal w/ Ground Pin";"";"XTAL-15127";"";"40MHZ";
"Y2";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"XTAL-13062";"";"32.768kHz";
